item_id,name,title,category,unit,value_kind,status,source_ref
402,fn402,结算备付金(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
403,fn403,拆出资金(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
404,fn404,发放贷款及垫款(万元)(流动资产科目),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
405,fn405,衍生金融资产(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
406,fn406,应收保费(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
407,fn407,应收分保账款(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
408,fn408,应收分保合同准备金(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
409,fn409,买入返售金融资产(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
410,fn410,划分为持有待售的资产(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
411,fn411,发放贷款及垫款(万元)(非流动资产科目),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
412,fn412,向中央银行借款(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
413,fn413,吸收存款及同业存放(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
414,fn414,拆入资金(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
415,fn415,衍生金融负债(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
416,fn416,卖出回购金融资产款(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
417,fn417,应付手续费及佣金(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
418,fn418,应付分保账款(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
419,fn419,保险合同准备金(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
420,fn420,代理买卖证券款(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
421,fn421,代理承销证券款(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
422,fn422,划分为持有待售的负债(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
423,fn423,预计负债(万元) （流动负债）,extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
424,fn424,递延收益(万元)（流动负债科目，公告此科目的股票较少，大部分公司没有此数据）,extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
425,fn425,其中:优先股(万元)(非流动负债科目),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
426,fn426,永续债(万元)(非流动负债科目),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
427,fn427,长期应付职工薪酬(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
428,fn428,其中:优先股(万元)(所有者权益科目),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
429,fn429,永续债(万元)(所有者权益科目),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
430,fn430,债权投资(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
431,fn431,其他债权投资(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
432,fn432,其他权益工具投资(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
433,fn433,其他非流动金融资产(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
434,fn434,合同负债(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
435,fn435,合同资产(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
436,fn436,其他资产(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
437,fn437,应收款项融资(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
438,fn438,使用权资产(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
439,fn439,租赁负债(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
440,fn440,发放贷款及垫款(万元)  [注：金融类科目],extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
441,fn441,应收款项(万元)  [注：证券类指标],extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
442,fn442,存出保证金(万元)  [注：证券类指标],extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
443,fn443,现金及存放中央银行款项(万元)  [注：金融类科目],extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
444,fn444,贵金属(万元)  [注：金融类科目],extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
445,fn445,以公允价值计量且其变动计入当期损益的金融资产(万元)  [注：金融类科目],extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
446,fn446,代理业务资产(万元)  [注：金融类科目],extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
447,fn447,应收款项类投资(万元)  [注：金融类科目],extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
448,fn448,同业及其它金融机构存放款项(万元)  [注：金融类科目],extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
449,fn449,以公允价值计量且其变动计入当期损益的金融负债(万元)  [注：金融类科目],extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
450,fn450,吸收存款(万元)  [注：金融类科目],extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
451,fn451,代理业务负债(万元)  [注：金融类科目],extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
452,fn452,其他负债(万元)  [注：金融类科目],extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
453,fn453,发放贷款及垫款(万元)  [注：金融类科目],extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
454,fn454,col454,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
455,fn455,col455,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
456,fn456,col456,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
457,fn457,col457,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
458,fn458,col458,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
459,fn459,col459,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
460,fn460,col460,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
461,fn461,col461,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
462,fn462,col462,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
463,fn463,col463,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
464,fn464,col464,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
465,fn465,col465,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
466,fn466,col466,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
467,fn467,col467,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
468,fn468,col468,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
469,fn469,col469,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
470,fn470,col470,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
471,fn471,col471,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
472,fn472,col472,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
473,fn473,col473,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
474,fn474,col474,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
475,fn475,col475,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
476,fn476,col476,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
477,fn477,col477,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
478,fn478,col478,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
479,fn479,col479,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
480,fn480,col480,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
481,fn481,col481,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
482,fn482,col482,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
483,fn483,col483,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
484,fn484,col484,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
